Wall time,Step,Value
1708700752.1038666,2000,0.0
1708700843.1894171,4000,0.0
1708700935.207715,6000,0.0
1708701028.3317435,8000,0.0
1708701120.6505322,10000,0.0
1708701213.2883637,12000,0.0
1708701306.3724802,14000,0.0
1708701399.4409487,16000,0.0
1708701493.3249483,18000,0.0
1708701588.8884516,20000,0.0
1708701684.1024907,22000,0.0
1708701778.2758186,24000,0.0
1708701873.831053,26000,0.10000000149011612
1708701968.5471656,28000,0.0
1708702064.0792637,30000,0.20000000298023224
1708702160.9022574,32000,0.0
1708702259.3071995,34000,0.10000000149011612
1708702356.297079,36000,0.0
1708702454.9297473,38000,0.20000000298023224
1708702553.9636467,40000,0.20000000298023224
1708702653.8003669,42000,0.20000000298023224
1708702754.1043046,44000,0.4000000059604645
1708702853.7662716,46000,0.20000000298023224
1708702952.3674562,48000,0.10000000149011612
1708703052.326221,50000,0.5
1708703150.956409,52000,0.30000001192092896
1708703250.4362319,54000,0.30000001192092896
1708703349.2107675,56000,0.4000000059604645
1708703448.162859,58000,0.6000000238418579
1708703547.0354245,60000,0.5
1708703646.0558865,62000,0.699999988079071
1708703745.711854,64000,0.30000001192092896
1708703844.898199,66000,0.4000000059604645
1708703943.4159265,68000,0.8999999761581421
1708704042.4260201,70000,0.4000000059604645
1708704140.939244,72000,0.6000000238418579
1708704239.165132,74000,0.4000000059604645
1708704337.5787733,76000,0.699999988079071
1708704435.63271,78000,0.4000000059604645
1708704534.509869,80000,0.800000011920929
1708704633.719867,82000,0.699999988079071
1708704732.6307468,84000,0.5
1708704831.311698,86000,0.800000011920929
1708704930.5027642,88000,0.6000000238418579
1708705028.9498026,90000,0.8999999761581421
1708705127.633365,92000,0.800000011920929
1708705226.0061667,94000,0.699999988079071
1708705324.5072439,96000,0.8999999761581421
1708705422.9370825,98000,1.0
1708705521.3318577,100000,0.699999988079071
1708705619.489252,102000,1.0
1708705718.3843262,104000,0.800000011920929
1708705816.9968936,106000,0.8999999761581421
1708705915.5682545,108000,1.0
1708706014.1998599,110000,0.699999988079071
1708706112.7685473,112000,0.8999999761581421
1708706212.0433087,114000,0.800000011920929
1708706310.1437068,116000,0.800000011920929
1708706409.0549939,118000,1.0
1708706509.1989613,120000,1.0
1708706609.2842975,122000,0.800000011920929
1708706708.3121765,124000,1.0
1708706808.597555,126000,0.8999999761581421
1708706908.3375397,128000,1.0
1708707007.5738158,130000,1.0
1708707107.4739363,132000,0.8999999761581421
1708707206.0162559,134000,0.8999999761581421
1708707305.1192088,136000,0.8999999761581421
1708707404.0548165,138000,1.0
1708707502.6837993,140000,0.8999999761581421
1708707601.9902644,142000,1.0
1708707701.1800659,144000,1.0
1708707801.3995247,146000,1.0
1708707901.559441,148000,1.0
1708708001.4293897,150000,1.0
1708708100.8859863,152000,1.0
1708708200.675229,154000,1.0
1708708300.539548,156000,0.800000011920929
1708708399.9547791,158000,1.0
1708708500.079472,160000,1.0
1708708599.7491875,162000,1.0
1708708700.3293417,164000,1.0
1708708800.304842,166000,1.0
1708708900.247829,168000,1.0
1708709000.6320693,170000,1.0
1708709100.4148347,172000,0.800000011920929
1708709200.24196,174000,1.0
1708709300.710457,176000,1.0
1708709401.06267,178000,1.0
1708709500.9918823,180000,1.0
1708709601.5980718,182000,1.0
1708709702.1145499,184000,1.0
1708709802.3192532,186000,1.0
1708709902.4437473,188000,1.0
1708710002.9034116,190000,1.0
1708710102.917807,192000,1.0
1708710202.531324,194000,1.0
1708710303.6463697,196000,1.0
1708710404.0551448,198000,1.0
1708710503.4257436,200000,1.0
1708710603.103014,202000,1.0
1708710703.1714103,204000,1.0
1708710803.6625767,206000,1.0
1708710903.5527909,208000,1.0
1708711003.9827106,210000,0.8999999761581421
1708711104.1063871,212000,1.0
1708711204.0480945,214000,0.8999999761581421
1708711303.4519172,216000,1.0
1708711403.3868835,218000,1.0
1708711503.3947246,220000,1.0
1708711603.0624993,222000,1.0
1708711703.7275524,224000,1.0
1708711803.8029857,226000,0.8999999761581421
1708711904.4820282,228000,1.0
1708712004.213203,230000,1.0
1708712105.3989012,232000,1.0
1708712206.037428,234000,1.0
1708712305.9246078,236000,1.0
1708712406.3620815,238000,1.0
1708712507.1066735,240000,1.0
1708712607.4284167,242000,1.0
1708712708.0380552,244000,1.0
1708712808.2035575,246000,1.0
1708712908.0323992,248000,1.0
1708713007.716231,250000,1.0
1708713107.1364157,252000,1.0
1708713207.4019353,254000,1.0
1708713307.6990347,256000,1.0
1708713407.0109282,258000,1.0
1708713507.0783951,260000,1.0
1708713607.4545417,262000,1.0
1708713707.3190017,264000,1.0
1708713807.0941947,266000,0.8999999761581421
1708713907.1967154,268000,1.0
1708714007.1220522,270000,1.0
1708714106.939484,272000,1.0
1708714207.37772,274000,1.0
1708714307.5060108,276000,1.0
1708714407.2535264,278000,1.0
1708714507.230048,280000,1.0
1708714607.1589158,282000,1.0
1708714707.4598737,284000,1.0
1708714807.2816665,286000,1.0
1708714907.1008413,288000,1.0
1708715007.3493805,290000,1.0
1708715107.935935,292000,1.0
