Wall time,Step,Value
1704440384.8429213,2000,0.0
1704440468.0195098,4000,0.0
1704440554.3795886,6000,0.0
1704440641.1792655,8000,0.0
1704440727.3306153,10000,0.0
1704440818.2556953,12000,0.0
1704440916.0509715,14000,0.0
1704441009.6269414,16000,0.0
1704441105.389952,18000,0.0
1704441197.708427,20000,0.0
1704441286.5285046,22000,0.0
1704441374.750957,24000,0.0
1704441461.482009,26000,0.0
1704441549.6008146,28000,0.0
1704441637.806451,30000,0.0
1704441723.2117105,32000,0.0
1704441808.6647441,34000,0.0
1704441894.7638683,36000,0.0
1704441980.5730305,38000,0.0
1704442068.7422628,40000,1.0
1704442155.9637635,42000,0.0
1704442244.37116,44000,1.0
1704442333.3225791,46000,1.0
1704442422.8033257,48000,1.0
1704442511.6446776,50000,1.0
1704442600.6352592,52000,1.0
1704442691.062513,54000,1.0
1704442779.7375274,56000,0.0
1704442869.8440547,58000,1.0
1704442958.908057,60000,1.0
1704443047.343803,62000,1.0
1704443137.8903742,64000,1.0
1704443227.9830317,66000,1.0
1704443318.41503,68000,1.0
1704443408.4470747,70000,1.0
1704443498.5608277,72000,1.0
1704443588.5215912,74000,1.0
1704443677.697754,76000,1.0
1704443767.4477987,78000,1.0
1704443857.5808752,80000,1.0
1704443946.8876648,82000,1.0
1704444037.412405,84000,1.0
1704444127.8935158,86000,1.0
1704444219.6867325,88000,1.0
1704444311.015288,90000,1.0
1704444402.5535026,92000,1.0
1704444494.317461,94000,1.0
1704444585.7543242,96000,1.0
1704444676.5271523,98000,1.0
1704444767.5851676,100000,1.0
1704444857.9464977,102000,1.0
1704444948.2959871,104000,1.0
1704445039.8298717,106000,1.0
1704445132.6133318,108000,1.0
1704445226.2958963,110000,1.0
1704445318.2924843,112000,1.0
1704445409.255292,114000,1.0
1704445500.3741271,116000,1.0
1704445591.4171455,118000,1.0
1704445685.1660497,120000,1.0
1704445779.2542138,122000,1.0
1704445874.7526426,124000,1.0
1704445967.2145429,126000,1.0
1704446058.0726814,128000,1.0
1704446148.4638968,130000,1.0
1704446239.2312877,132000,1.0
1704446330.3221064,134000,1.0
1704446420.6425214,136000,1.0
1704446511.0556705,138000,1.0
1704446602.1746123,140000,1.0
1704446693.7378678,142000,1.0
1704446784.217647,144000,1.0
1704446873.97129,146000,1.0
1704446964.6001492,148000,1.0
1704447054.394308,150000,1.0
1704447144.4226751,152000,1.0
1704447236.5542881,154000,1.0
1704447329.340715,156000,1.0
1704447420.2982697,158000,1.0
1704447510.07362,160000,1.0
1704447601.2068813,162000,1.0
1704447691.3758392,164000,1.0
1704447781.55869,166000,1.0
1704447871.2055454,168000,1.0
1704447962.2014148,170000,1.0
1704448052.7863674,172000,1.0
1704448144.4252777,174000,1.0
1704448235.4405162,176000,1.0
1704448326.840375,178000,1.0
1704448419.531286,180000,1.0
1704448510.8717139,182000,1.0
1704448602.6509035,184000,1.0
1704448694.54883,186000,1.0
1704448786.2308793,188000,1.0
1704448879.0217977,190000,1.0
1704448970.2109869,192000,1.0
1704449060.878766,194000,1.0
1704449152.5115647,196000,1.0
1704449243.3897085,198000,1.0
1704449333.448982,200000,1.0
1704449425.2765126,202000,1.0
1704449517.7814734,204000,1.0
1704449609.8465276,206000,1.0
1704449701.074896,208000,1.0
1704449794.1881616,210000,1.0
1704449886.2146578,212000,1.0
1704449978.9217763,214000,1.0
1704450071.279522,216000,1.0
1704450163.136326,218000,1.0
1704450255.6217446,220000,1.0
1704450347.709538,222000,1.0
1704450439.3575943,224000,1.0
1704450532.2301583,226000,1.0
1704450624.4136267,228000,1.0
1704450716.297556,230000,1.0
1704450808.197065,232000,1.0
1704450899.669351,234000,1.0
1704450991.7939775,236000,1.0
1704451084.6835244,238000,1.0
1704451178.1424851,240000,1.0
1704451270.9203992,242000,1.0
1704451363.3182666,244000,1.0
1704451454.9481034,246000,1.0
1704451547.018961,248000,1.0
1704451639.7339182,250000,1.0
1704451733.6990972,252000,1.0
1704451826.040277,254000,1.0
1704451918.9053984,256000,1.0
1704452012.4174163,258000,1.0
1704452106.8383958,260000,1.0
1704452201.2609994,262000,1.0
1704452295.149808,264000,1.0
1704452389.0739408,266000,1.0
1704452480.8987155,268000,1.0
1704452574.7815056,270000,1.0
1704452667.6923752,272000,1.0
1704452760.794746,274000,1.0
1704452854.2949693,276000,1.0
1704452947.467647,278000,1.0
1704453039.8134804,280000,1.0
1704453132.3646193,282000,1.0
1704453224.7221298,284000,1.0
1704453317.2097666,286000,1.0
1704453410.546644,288000,1.0
1704453502.0721312,290000,1.0
1704453594.5581822,292000,1.0
1704453687.223053,294000,1.0
1704453779.1569664,296000,1.0
1704453871.021209,298000,1.0
1704453963.7753594,300000,1.0
1704454056.5586607,302000,1.0
1704454149.2497184,304000,1.0
1704454243.2743442,306000,1.0
1704454335.9825811,308000,1.0
1704454428.4523914,310000,1.0
1704454521.301808,312000,1.0
1704454614.1269944,314000,1.0
1704454707.1460373,316000,1.0
1704454799.702332,318000,1.0
1704454892.3359401,320000,1.0
1704454985.2241309,322000,1.0
1704455078.4276123,324000,1.0
1704455172.2156382,326000,1.0
1704455264.9018662,328000,1.0
1704455358.0213664,330000,1.0
1704455450.615,332000,1.0
1704455542.250989,334000,1.0
1704455633.6731153,336000,1.0
1704455725.5826018,338000,1.0
