Wall time,Step,Value
1704469030.9218445,2000,0.0
1704469108.4387991,4000,0.0
1704469185.3725574,6000,0.0
1704469264.5720394,8000,0.0
1704469343.6517143,10000,0.0
1704469423.3638484,12000,0.0
1704469505.100013,14000,0.0
1704469584.2527895,16000,0.0
1704469663.7416108,18000,0.0
1704469743.9587677,20000,0.0
1704469824.7748134,22000,0.0
1704469905.5365117,24000,0.0
1704469985.1040645,26000,0.0
1704470064.159993,28000,0.0
1704470142.3890235,30000,0.0
1704470220.4269664,32000,0.0
1704470300.8631787,34000,0.0
1704470379.6807034,36000,0.0
1704470457.6700335,38000,0.0
1704470536.241684,40000,0.0
1704470616.0596578,42000,0.0
1704470696.9769685,44000,0.0
1704470776.8990602,46000,0.0
1704470857.8312194,48000,0.0
1704470940.0987706,50000,0.0
1704471019.6939802,52000,0.0
1704471099.2712584,54000,0.0
1704471180.0328238,56000,0.0
1704471260.212137,58000,0.0
1704471342.3595486,60000,0.0
1704471424.6781716,62000,0.0
1704471505.7216847,64000,0.0
1704471587.8972418,66000,1.0
1704471669.9217093,68000,0.0
1704471752.1580641,70000,1.0
1704471834.4794219,72000,1.0
1704471918.2067127,74000,0.0
1704472002.0164945,76000,0.0
1704472083.9526544,78000,1.0
1704472164.6681902,80000,1.0
1704472246.417665,82000,0.0
1704472328.551271,84000,0.0
1704472410.387836,86000,0.0
1704472492.4080703,88000,0.0
1704472574.3530798,90000,0.0
1704472656.3029075,92000,0.0
1704472739.073371,94000,1.0
1704472822.8740048,96000,1.0
1704472905.7146983,98000,1.0
1704472990.788233,100000,1.0
1704473074.319003,102000,1.0
1704473157.4234557,104000,1.0
1704473241.1744213,106000,1.0
1704473323.5809627,108000,1.0
1704473406.648455,110000,1.0
1704473490.5501206,112000,1.0
1704473574.7772472,114000,1.0
1704473658.8787775,116000,1.0
1704473742.3832045,118000,1.0
1704473825.4196823,120000,1.0
1704473908.6581426,122000,1.0
1704473992.3935344,124000,1.0
1704474075.8031228,126000,1.0
1704474158.5530727,128000,1.0
1704474241.7603376,130000,1.0
1704474325.244345,132000,1.0
1704474408.5751212,134000,1.0
1704474492.5877488,136000,1.0
1704474576.658386,138000,1.0
1704474661.4192655,140000,1.0
1704474745.033559,142000,1.0
1704474830.135392,144000,1.0
1704474913.7368162,146000,0.0
1704474997.97918,148000,1.0
1704475082.3873637,150000,1.0
1704475167.013785,152000,1.0
1704475251.8762279,154000,1.0
1704475335.9674475,156000,0.0
1704475421.581541,158000,1.0
1704475506.6217482,160000,1.0
1704475590.887602,162000,1.0
1704475675.0258994,164000,1.0
1704475759.547105,166000,1.0
1704475843.6650786,168000,1.0
1704475928.5118587,170000,0.0
1704476012.5765388,172000,1.0
1704476096.081606,174000,1.0
1704476179.7359579,176000,1.0
1704476261.866064,178000,1.0
1704476345.1086926,180000,1.0
1704476427.1125312,182000,0.0
1704476509.9117627,184000,1.0
1704476593.8566647,186000,1.0
1704476678.6846766,188000,1.0
1704476763.010235,190000,1.0
1704476846.758534,192000,0.0
1704476930.369375,194000,1.0
1704477013.4786556,196000,1.0
1704477096.1617565,198000,1.0
1704477179.173285,200000,1.0
1704477263.3220718,202000,1.0
1704477347.1385837,204000,1.0
1704477431.8823783,206000,1.0
1704477515.8639503,208000,1.0
1704477598.2086272,210000,1.0
1704477680.9228017,212000,1.0
1704477763.640168,214000,1.0
1704477846.7085705,216000,1.0
1704477930.2443297,218000,1.0
